caseid,caseid_13,caseid_14,caseid_15,brow13_participant,brow14_participant,brow15_participant,weight_RI,q60_treat,q115_treat,q1,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q113,q114_1,q114_2,q114_3,q114_4,q114_5,q114_6,q6,q7,q100,q8,q101,q9,q102,q10,q103,q103_free_response,q14,q14_t,q116,q104,q104_free_response,q105,q106,q56_1,q56_2,q56_3,q56_4,q56_5,q56_6,q56_7,q56_8,q56_9,q56_10,q56_11,q56_12,q56_13,q107,q108,q23_1,q23_2,q23_3,q23_4,q23_5,q23_11,q23_7,q23_8,q23_9,q23_12,q23_10,q23_follow_up,q25,q26,q18,q58_1,q58_2,q58_3,q58_4,q58_5,q58_6,q58_7,q58_8,q59_1,q59_2,q59_3,q59_4,q59_5,q59_6,q60_1,q60_2,q60_3,q60_4,q61,q20,q53,q21,q22,q109,q110,q111,q112,q29,q29_why_not,q30,q32,q33,q36,q46,q115_family,q115_community,genhealth,insurtype_multiple_1,insurtype_multiple_2,insurtype_multiple_3,insurtype_multiple_4,insurtype_multiple_5,insurtype_multiple_99,pp_smoke100,birthyr,gender_client,race,educ,marstat,employ,faminc_new,pid3,pid7,presvote16post,turnout20post,presvote20post,inputzip,county_RI,inputstate,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,both
1297699113, ,1241153681,1266266221,2,1,1,1.88061857178394,1,2,5,2,2,2,2,1,2,3,2,1,1,1,2,2,5,5,5,5,5,5,5,1,4,Most restaurants are closed for dining inside.,16,__NA__,1,9,__NA__,4,3,2,1,2,2,1,2,2,2,2,1,2,2,2,5,4,4,4,1,1,4,3,1,3,5,3,1,__NA__,4,2,5,4,4,4,4,4,4,4,4,3,3,3,1,2,4,4,5,6,5,1,2,300000,50,0,2,2,25,15,6,__NA__,2,2,9,2,1,9,2,4,1,2,2,2,2,2,2,1981,1,2,5,5,1,3,1,2,1,1,1,2895,7,44,1,2,1,11,6,2,4,2,12/11/2020 21:19:49,12/11/2020 21:33:15,1
1297699111,1178775907,1235225787,1264965919,1,1,1,.751444578124924,2,1,1,2,2,2,2,2,1,3,2,2,2,2,2,1,5,4,3,5,4,4,4,1,4,It is unsafe for the employees and my family,16,__NA__,1,9,__NA__,2,3,1,2,2,1,1,2,2,2,2,2,2,2,2,3,5,5,4,2,2,5,4,2,4,1,3,1,__NA__,3,1,5,4,4,4,4,4,5,5,4,4,2,3,2,1,3,6,5,5,5,1,7,300000,7,0,2,2,17,9,6,__NA__,2,1,4,2,2,2,9,2,1,2,2,2,2,2,2,1987,2,1,6,1,1,97,1,1,1,1,1,2864,7,44,1,2,2,9,6,2,4,7,12/11/2020 21:19:47,12/11/2020 21:44:45,1
1297706273,1179791229,1241653319,1264877677,1,1,1,.774182329088295,2,2,3,2,2,2,2,1,2,2,2,2,1,1,2,2,4,1,1,5,1,2,2,1,2,They keep closing them down.,21,Agriculture,2,2,Farm work is seasonal,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,4,4,3,2,3,4,3,4,4,4,3,2,__NA__,2,3,2,3,3,3,3,3,3,3,4,4,3,2,2,2,4,4,4,5,4,4,2,250000,30,4,3,2,10,10,5,__NA__,2,2,9,1,2,9,2,3,2,2,2,2,1,2,1,1978,1,1,2,5,2,5,3,4,7,1,3,2882,9,44,1,3,1,10,6,2,4,7,12/11/2020 21:39:14,12/11/2020 21:53:51,1
1296223965, , ,1268285097,2,2,1,.957410043869606,1,2,5,2,2,2,2,2,1,4,9,9,9,9,9,9,5,4,4,5,4,4,4,1,2,"I don't want to catch, or spread, COVID-19.",21,Journalism/Media,2,3,"My workplace is making efforts to keep everyone separated, shielded, and surfaces cleaned.",2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,5,5,5,1,1,5,5,2,2,1,3,1,__NA__,4,1,4,5,5,5,5,5,5,5,4,3,2,1,3,1,3,6,6,6,6,1,2,200000,15,1,2,2,1,15,6,__NA__,2,2,9,2,2,9,1,2,1,2,2,2,2,2,2,1978,1,1,5,5,1,5,1,2,1,1,1,2914,7,44,1,2,1,10,6,2,4,7,12/11/2020 21:43:47,12/11/2020 22:03:00,1
1297595061,1178960691,1234768221,1264497677,1,1,1,2.19845165898111,2,1,5,2,2,2,2,1,2,3,2,2,2,1,2,2,4,4,2,5,4,3,3,1,4,"I used to rarely eat at restaurants, and I completely stopped when the pandemic started.",1,__NA__,9,9,__NA__,4,2,2,2,1,2,1,1,2,2,2,2,2,2,2,4,5,5,4,4,1,2,4,3,2,2,4,3,"If I get a positive test, I will have to quarantine and tell people I interacted with to quarantine.",4,2,5,5,5,5,2,5,5,4,5,2,1,4,1,2,4,6,6,6,6,4,2,400000,20,5,2,2,1,0,3,__NA__,2,2,9,2,2,1,9,2,2,2,2,2,2,1,2,1992,1,1,5,5,4,5,1,1,1,1,1,2882,9,44,1,2,1,9,6,2,4,7,12/11/2020 22:25:58,12/11/2020 22:41:51,1
1297831405, ,1234699465, ,2,1,2,.348846985521796,1,2,5,2,2,2,2,2,1,3,2,2,2,2,2,1,5,5,5,5,5,5,4,1,4,I am not comfortable eating in a restaurant now. I have not eaten in a restaurant since January of this year.,1,__NA__,9,9,__NA__,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,5,4,1,1,5,3,2,3,1,3,1,__NA__,5,1,5,4,4,4,3,3,3,3,4,3,2,3,2,2,3,7,5,5,4,1,5,295000,10,6,2,2,5,3,6,__NA__,2,2,9,1,2,9,1,4,2,1,2,2,2,2,1,1947,2,1,5,6,5,5,3,3,1,1,1,2809,1,44,1,3,1,5,5,2,2,1,12/12/2020 0:44:52,12/12/2020 0:58:22, 
1297875931,1178380691,1239040481,1265721993,1,1,1,.994223800690897,2,1,5,2,2,2,2,2,1,3,2,2,2,2,2,1,5,5,5,5,5,5,5,2,4,Don't feel safe dining indoors,1,__NA__,9,9,__NA__,4,2,1,2,2,1,1,2,2,2,2,2,2,2,2,3,5,5,3,3,1,5,3,1,3,1,3,1,__NA__,2,2,4,5,5,5,5,5,5,5,5,3,3,3,3,3,3,6,6,6,6,1,7,290000,31,20,2,1,12,20,5,__NA__,4,2,9,1,2,1,9,2,2,1,2,2,2,2,2,1955,2,1,6,1,5,7,2,7,2,1,2,2919,7,44,1,4,2,2,5,2,1,3,12/12/2020 1:59:11,12/12/2020 2:16:23,1
1297897157, , ,1269850265,2,2,1,.489536561562783,1,2,5,2,2,2,2,2,1,2,2,2,2,2,2,1,5,3,3,5,4,4,4,3,3,My family and I never really eat at restaurants unless it is a special occasion.,1,__NA__,9,9,__NA__,4,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,5,5,4,1,1,5,4,1,1,1,4,1,__NA__,6,2,5,5,5,4,5,5,4,5,4,4,2,3,3,3,4,6,6,6,4,1,2,250000,36,49,2,2,50,51,6,__NA__,6,1,6,1,2,9,2,3,2,2,2,2,2,1,2,1999,2,1,3,5,4,7,3,3,7,1,1,2863,7,44,1,3,3,4,2,2,2,6,12/12/2020 2:39:27,12/12/2020 2:49:23,1
1297277233,1178505173,1237495519,1264888669,1,1,1,.45210648168653,2,1,4,2,2,2,2,1,2,3,2,2,1,1,2,2,5,2,2,5,2,3,2,3,2,Trying to maintain social distancing,21,Social Services,2,3,Deemed an essential worker,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,3,3,5,4,1,1,5,4,2,2,1,4,1,__NA__,6,2,4,4,4,4,4,4,4,3,4,4,3,3,2,2,3,5,4,4,4,5,7,275000,2,0,2,2,5,5,6,__NA__,4,2,9,2,2,2,9,2,1,2,2,2,2,2,2,1962,1,1,4,5,1,5,3,3,1,1,1,2860,7,44,1,3,1,9,6,2,4,7,12/12/2020 2:34:53,12/12/2020 2:50:04,1
1297870871,1179546115, ,1264574005,1,2,1,.45210648168653,2,1,5,2,2,2,2,2,1,4,9,9,9,9,9,9,5,5,5,5,5,4,3,1,3,Airborne transmission. Only ate outdoors in the fall.,1,__NA__,9,9,__NA__,4,3,1,2,2,2,2,2,2,2,2,1,1,2,2,5,5,5,5,1,1,4,4,1,1,1,3,1,__NA__,5,1,5,5,4,4,4,4,4,4,4,4,1,3,1,1,1,7,4,4,4,1,3,285000,16,9,2,2,5,1,6,__NA__,4,2,9,1,2,1,9,3,2,2,2,2,1,2,2,1958,1,1,3,6,4,4,1,1,1,1,1,2861,7,44,1,2,1,9,6,2,4,7,12/12/2020 2:40:39,12/12/2020 2:54:13,1
