row_id,id,survey,q1,q29,q7,q60_1,q60_2,q60_3,q60_4,q25new,ideo5,dem_rep_oth,agegood,female,race_new,race_newF,faminc_new,educ,trust_in_science,covid_know,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,covid_subj_know.NA,covid_subj_know_Imp,covid_know.NA,covid_know_Imp,ideo5.NA,ideo5_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q25new_rank,avg_perc_rank,covmh,ps,orig_id,bm,match_id,rankperc,grp,q100,q22,q59_1,q60_1a,q60_2a,q60_3a,q60_4a,bmF,q1_c,q60_1a_c,q60_2a_c,q60_3a_c,q60_4a_c,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q100_rank,q25_new_rank,q1_rank,q22_rank,q59_1_rank,q59_1_rank_inv
1,1,5,5,6,5,6,4,4,5,6,1,1,71,0,1,1,9,5,5,0.875,NA,0.4042206642589051,0,9,1,3.3726708074534164,0,0.875,0,1,3.7741789812099915,1501,972.5,878,1335,1644,1171.625,5.977488098486402,1147.3742594647176,1264565863,1,1,1,1,NA,27,1,5,3,3,4,1,0,2,1,-0.5,0,1,1,0,0.5,0,0.5,0.5,1,0,1
34,34,5,5,6,5,2,2,5,5,6,2,1,64,0,1,1,10,6,5,0.875,NA,0.02464414701508392,0,10,1,3.3726708074534164,0,0.875,0,2,9.543985700463784,342,266,1357,1335,1644,825,7.704409484428683,1235.9727118461997,1265514317,1,34,0,0,NA,18,4,1,1,4,4,1,0,-2,-1,0.5,0,0,0,1,0.5,1,0.5,0.5,0,1,0
2,2,5,2,1,1,5,5,5,5,1,3,3,82,0,1,1,6,3,2,0.75,NA,0.17010126761560798,0,6,1,3.3726708074534164,0,0.75,0,3,0.6326789454780177,1200.5,1373,1357,1335,114.5,1316.375,6.246058341787583,792.08132427463,1264565823,2,2,1,1,NA,16,3,4,4,4,4,2,-1,0,-0.5,0.5,0.5,0.5,0,1,1,0,0,0,0,0.5,0.5
2114,2114,5,4,4,3,5,6,4,4,4,3,3,76,0,1,1,9,3,2,0.5,NA,0.17512924013880035,0,9,1,3.3726708074534164,0,0.5,0,3,5.942663246830584,1200.5,1637.5,878,775.5,1279,1122.875,9.970175074895506,748.7426401276527,1265277649,2,1412,0,0,NA,50,3,4,5,3,3,2,1,0,0.5,-0.5,-0.5,0.5,1,0,0,1,1,1,1,0.5,0.5
8,8,5,3,6,5,4,4,5,5,3,1,1,30,1,1,1,8,4,4,1,NA,0.5912470788187806,0,8,1,3.3726708074534164,0,1,0,1,1.1712138787180606,905,972.5,1357,1335,994,1142.375,6.460065798073894,851.0034516400475,1264659765,3,8,1,1,NA,4,3,3,3,4,4,3,0,1,1,1,0.5,1,1,1,1,0,1,0.5,1,0,1
119,119,5,3,4,2,2,2,3,4,2,2,1,24,1,1,1,11,5,4,0.75,NA,0.5912470788187806,0,11,1,3.3726708074534164,0,0.75,0,2,2.2298999672728943,342,266,428,775.5,549.5,452.875,6.377190637820995,1034.9134604146,1268296141,3,119,0,0,NA,3,4,1,1,2,3,3,0,-1,-1,-1,-0.5,0,0,0,0,1,0,0.5,0,1,0
11,11,5,5,5,5,6,6,5,4,4,2,1,53,1,1,1,7,4,5,0.875,NA,0.5912470788187806,0,7,1,3.3726708074534164,0,0.875,0,2,4.027091205942977,1501,1637.5,1357,775.5,1279,1317.75,4.7128879410630935,1089.0888427588127,1264680513,4,11,1,1,NA,16,4,5,5,4,3,4,1,1.5,1.5,1,0,1,1,1,0.5,0,1,1,1,1,0
88,88,5,3,6,5,3,3,3,4,2,3,1,49,1,1,1,6,5,5,0.875,NA,0.193470717371291,0,6,1,3.3726708074534164,0,0.875,0,3,1.0419887300970008,637,577,428,775.5,549.5,604.375,4.683836295823959,1084.1665539788182,1267419137,4,88,0,0,NA,3,3,2,2,2,3,4,-1,-1.5,-1.5,-1,0,0,0,0,0.5,1,0,0,0,0,1
12,12,5,4,6,4,3,3,2,4,3,3,3,33,1,1,1,10,3,2,0.875,NA,0.5912470788187806,0,10,1,3.3726708074534164,0,0.875,0,3,5.547265394760559,637,577,165.5,775.5,994,538.75,8.565389664084174,752.7541220022396,1264877667,5,12,1,1,NA,1,3,2,2,1,3,5,1,0.5,0.5,-0.5,0.5,1,1,0,1,0,1,1,0,0.5,0.5
22,22,5,2,1,3,2,2,3,3,1,4,3,38,1,1,1,11,3,2,0.625,NA,0.28730259896607885,0,11,1,3.3726708074534164,0,0.625,0,4,1.9262499311868273,342,266,428,302,114.5,334.5,7.130670040978844,714.513348572398,1264659907,5,22,0,0,NA,3,3,1,1,2,2,5,-1,-0.5,-0.5,0.5,-0.5,0,0,1,0,1,0,0,1,0.5,0.5
13,13,5,3,6,5,4,4,4,4,1,3,3,66,1,1,1,2,2,5,0.875,NA,0.24842433255435165,0,2,1,3.3726708074534164,0,0.875,0,3,0.10579850890925735,905,972.5,878,775.5,114.5,882.75,7.361894558910664,994.1251942693584,1264768591,6,13,1,1,NA,48,3,3,3,3,3,6,0,1.5,1,1,0,1,1,1,0.5,0,0.5,0.5,0,0,1
217,217,5,3,6,5,1,2,2,4,1,3,3,61,1,1,1,5,2,5,0.625,NA,0.12548686353657673,0,5,1,3.3726708074534164,0,0.625,0,3,5.640108089562732,71.5,266,165.5,775.5,114.5,319.625,7.934016293019934,1056.4064170199786,1269134127,6,216,0,0,NA,77,5,0,1,1,3,6,0,-1.5,-1,-1,0,0,0,0,0.5,1,0.5,0.5,1,1,0
14,14,5,3,6,5,2,2,4,5,2,2,1,53,1,1,1,3,3,5,0.75,NA,0.24134268111323562,0,3,1,3.3726708074534164,0,0.75,0,2,5.48861745195568,342,266,878,1335,549.5,705.25,4.547383061761382,1062.1184406403565,1264693349,7,14,0,1,NA,6,4,1,1,3,4,7,1,0,-1,0,0.5,0.5,0,0.5,1,0,0.5,1,0.5,0,1
275,275,5,1,4,2,2,4,4,4,2,3,1,49,1,1,1,6,2,5,0.625,NA,0.5365767296933645,0,6,1,3.3726708074534164,0,0.625,0,3,3.199423292746712,342,972.5,878,775.5,549.5,742,7.865797088772143,1023.0581622471794,1269848885,7,274,1,0,NA,6,5,1,3,3,3,7,-1,0,1,0,-0.5,0.5,1,0.5,0,1,0.5,0,0.5,1,0
15,15,5,4,5,2,6,4,4,3,3,3,3,51,0,1,1,6,3,3,1,NA,0.4042206642589051,0,6,1,3.3726708074534164,0,1,0,3,4.8039412079814365,1501,972.5,878,302,994,913.375,4.712136626621614,779.5634475151364,1264979143,8,15,0,1,NA,2,3,5,3,3,2,8,1,0.5,-0.5,-0.5,-1,1,0,0,0,0,0,1,0,0.5,0.5
2084,2084,5,2,6,5,5,5,5,5,5,3,3,58,0,1,1,5,4,3,0.75,NA,0.5912470788187806,0,5,1,3.3726708074534164,0,0.75,0,3,0.6326789454780177,1200.5,1373,1357,1335,1502,1316.375,5.1443917791515545,882.5380204897248,1264888669,8,1382,1,0,NA,10,3,4,4,4,4,8,-1,-0.5,0.5,0.5,1,0,1,1,1,1,1,0,1,0.5,0.5
19,19,5,5,6,4,6,4,4,5,5,1,3,57,1,1,1,9,6,5,0.875,NA,0.5912470788187806,0,9,1,3.3726708074534164,0,0.875,0,1,3.7741789812099915,1501,972.5,878,1335,1502,1171.625,6.739003253349461,1178.671746472389,1264939769,9,19,0,1,NA,15,3,5,3,3,4,9,1,0,0,-0.5,0,0.5,0.5,0,0.5,0,1,1,0,0.5,0.5
