row_id,sample,outcome.x,q60_1,q60_2,q60_3,q60_4,q60_5,q60_6,q60_7,q25_new,ideo5,dem_rep_oth,age,female,race_new,faminc_new,educ,trust_in_govt,trust_in_science,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q60_5_rank,q60_6_rank,q60_7_rank,q25_new_rank,avg_perc_rank,covmh,ps,orig_id,id.x,bm,match_id,rankperc,grp,id.y,outcome.y,q22,q59_1,outcome,q60_1a,q60_2a,q60_3a,q60_4a,q60_5a,q60_6a,q60_7a,q60_ingroup,q60_outgroup,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q60_5a_rank,q60_6a_rank,q60_7a_rank,outcome_rank,q22_rank,q59_1_rank,q59_1_rank_inv
1,1,0,3,3,3,3,3,3,3,1,3,2,52,1,1,11,5,2,2.5,2,0.3071027781579307,0,11,3.1334491184779307,272,238.5,161.5,133,107,328,184,302,203.42857142857142,7.790692688877581,617.3506939892811,3,1,1,1,0,1,1,0,30,4,0,2,2,2,2,2,2,2,2,2,0,0.5,0,0,0,0,0,0.5,0,0,1
419,1,0,4,3,4,4,7,4,6,1,4,2,57,1,1,10,5,1.6666666666666667,1.5,5,0.04091966607362801,0,10,8.759517371675555,438.5,238.5,411,372,1400,723.5,1208.5,302,684.5714285714286,10.679572940359938,633.8228889301002,4,419,1,419,1,0,419,0,46,5,0,3,2,3,3,6,3,5,3,6,1,0.5,1,1,1,1,1,0.5,1,1,0
2,1,1,4,6,6,6,6,2,4,1,4,3,50,1,1,5,5,1,2,2,0.31723005337347737,0,5,13.032239454156358,438.5,1211,1255,1278.5,953.5,138,432.5,302,815.2857142857143,7.259865928308351,487.26274599723683,4,2,2,2,1,1,2,1,9,4,1,3,5,5,5,5,1,3,NA,NA,0,1,1,1,0.5,0,1,1,1,0,1
591,2,0,5,5,5,5,6,4,3,2,3,3,57,1,1,3,3,2,2.5,5,0.1929656493773094,0,3,5.539343188030162,658.5,838,835,836,953.5,723.5,184,843,718.3571428571429,7.8317737956466384,562.6228549669067,3,591,2,590,0,0,591,0,3,5,0,4,4,4,4,5,3,2,NA,NA,1,0,0,0,0.5,1,0,0,0,1,0
3,1,0,3,5,3,5,6,6,3,4,2,1,54,0,1,4,2,2.3333333333333335,3.5,5,0.6169426577254686,0,4,21.23271437412668,272,838,161.5,836,953.5,1339,184,1263,654.8571428571429,7.778438103142386,678.1548215128569,2,3,3,3,0,1,3,0,47,3,0,2,4,2,4,5,5,2,5,5,0,0,0,0.5,0.5,0.5,0,0,1,0,1
572,1,1,7,7,6,5,6,6,6,1,2,1,55,0,1,2,2,2,4.5,2,0.7065827288901053,0,2,5.724260501892036,1356,1456.5,1255,836,953.5,1339,1208.5,302,1200.642857142857,7.783762767900679,743.2394208921155,2,572,3,571,1,0,572,1,10,4,1,6,6,5,4,5,5,5,5,5,1,1,1,0.5,0.5,0.5,1,1,0,1,0
4,1,0,4,3,5,5,5,5,5,1,6,1,64,1,1,2,2,2,2.5,1,0.04091966607362801,0,2,4.928071986424549,438.5,238.5,835,836,475,1125.5,821,302,681.3571428571429,8.32814271169504,549.3058813556265,6,4,4,4,1,1,4,0,38,4,0,3,2,4,4,4,4,4,4,4,1,1,1,0.5,1,1,1,0.5,0,1,0
997,2,0,2,2,3,5,4,4,3,4,6,1,57,1,1,2,1,2,3,3,0.6169426577254686,0,2,9.264853611500026,155.5,120.5,161.5,836,239,723.5,184,1263,345.7142857142857,6.065415505393342,588.9358005808582,6,997,4,996,0,0,997,0,51,3,0,1,1,2,4,3,3,2,3,3,0,0,0,0.5,0,0,0,0.5,1,0,1
5,2,1,6,6,5,5,6,4,4,6,1,1,62,1,1,11,5,2.6666666666666665,5,5,0.4888463117558504,0,11,3.7661413250402846,984.5,1211,835,836,953.5,723.5,432.5,1403,853.7142857142857,5.882016895871267,954.1317625277003,1,5,5,5,0,1,5,1,50,2,1,5,5,4,4,5,3,3,5,3,0,0.5,0.5,0.5,0.5,0.5,0,0.5,1,0,1
1020,1,1,7,6,5,5,6,4,6,2,2,1,56,1,1,11,3,3,5,4,0.8302997126043519,0,11,2.884916683087237,1356,1211,835,836,953.5,723.5,1208.5,843,1017.6428571428571,6.381742950735751,932.9010411755618,2,1020,5,1019,1,0,1020,1,6,4,1,6,5,4,4,5,3,5,5,3,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0,1,0
6,1,1,5,4,4,4,7,3,4,2,5,2,56,1,1,2,3,2,2,2,0.04091966607362801,0,2,5.33008417397299,658.5,483.5,411,372,1400,328,432.5,843,583.6428571428571,6.8822389642518385,565.6940389177104,5,6,6,6,1,1,6,1,4,4,1,4,3,3,3,6,2,3,2,6,1,1,1,0,0.5,0.5,1,1,1,0,1
1012,1,0,2,2,3,5,7,3,3,1,4,2,58,1,1,4,2,1.3333333333333333,1,4,0.04091966607362801,0,4,13.893373095883465,155.5,120.5,161.5,836,1400,328,184,302,455.07142857142856,7.356619906367362,503.5470566901937,4,1012,6,1011,0,0,1012,0,0,5,0,1,1,2,4,6,2,2,2,6,0,0,0,1,0.5,0.5,0,0,0,1,0
7,2,1,7,6,6,6,7,6,6,2,4,3,74,1,1,9,3,2.6666666666666665,4,3,0.6169426577254686,0,9,3.19791763486432,1356,1211,1255,1278.5,1400,1339,1208.5,843,1292.5714285714287,6.333016712792338,920.5632533724015,4,7,7,7,1,1,7,1,16,3,1,6,5,5,5,6,5,5,NA,NA,1,0.5,1,1,1,1,0.5,0.5,1,0,1
250,2,1,6,6,5,4,6,5,6,2,4,3,77,1,1,9,5,2,4,4,0.20555631586150266,0,9,5.666334029361558,984.5,1211,835,372,953.5,1125.5,1208.5,843,955.7142857142857,5.08166766679421,915.4370142711064,4,250,7,250,0,0,250,1,2,4,1,5,5,4,3,5,4,5,NA,NA,0,0.5,0,0,0,0,0.5,0.5,0,1,0
8,1,1,5,5,4,5,6,4,5,2,1,1,19,1,1,10,1,3,4.5,4,0.9199397837689887,0,10,2.7650450411823613,658.5,838,411,836,953.5,723.5,821,843,748.7857142857143,17.491529466118916,832.2278307388573,1,8,8,8,0,1,8,1,9,4,1,4,4,3,4,5,3,4,5,3,0,0,0,1,0,1,0,0.5,0,1,0
1268,1,1,7,6,5,4,7,3,6,1,1,1,19,1,1,8,2,2,5,4,0.04091966607362801,0,8,8.495626970158632,1356,1211,835,372,1400,328,1208.5,302,958.6428571428571,20.91799889050386,760.8899714518236,1,1268,8,1266,1,0,1268,1,21,3,1,6,5,4,3,6,2,5,6,2,1,1,1,0,1,0,1,0.5,1,0,1
